secao,produto
"OUTROS E CONSERVAS","Ervilha em Conserva"
"OUTROS E CONSERVAS","Palmito"
"OUTROS E CONSERVAS","Cogumelo Champignon"
"OUTROS E CONSERVAS","Cogumelo Shitake"
"OUTROS E CONSERVAS","Cogumelo Shimeji"
"OUTROS E CONSERVAS","Cogumelo Paris"
"OUTROS E CONSERVAS","Aspargo em Conserva"
"OUTROS E CONSERVAS","Pepino em Conserva"
"OUTROS E CONSERVAS","Picles"
"OUTROS E CONSERVAS","Azeitona Recheada"
"OUTROS E CONSERVAS","Tomate Seco"
"OUTROS E CONSERVAS","Alcaparra"
"OUTROS E CONSERVAS","Amendoim Cru"
"OUTROS E CONSERVAS","Amendoim Torrado"
"OUTROS E CONSERVAS","Castanha de Caju"
"OUTROS E CONSERVAS","Castanha-do-Pará"
"OUTROS E CONSERVAS","Castanha Portuguesa"
"OUTROS E CONSERVAS","Nozes"
"OUTROS E CONSERVAS","Amêndoas"
"OUTROS E CONSERVAS","Avelã"
"OUTROS E CONSERVAS","Pistache"
"OUTROS E CONSERVAS","Macadâmia"
"OUTROS E CONSERVAS","Passas"
"OUTROS E CONSERVAS","Uva Passa"
"OUTROS E CONSERVAS","Coco Ralado"
"OUTROS E CONSERVAS","Coco Fresco"
"OUTROS E CONSERVAS","Gergelim Branco"
"OUTROS E CONSERVAS","Gergelim Preto"
"OUTROS E CONSERVAS","Linhaça Dourada"
"OUTROS E CONSERVAS","Linhaça Marrom"
"OUTROS E CONSERVAS","Quinoa em Grão"
"OUTROS E CONSERVAS","Granola"
"OUTROS E CONSERVAS","Geleia de Morango"
"OUTROS E CONSERVAS","Geleia de Frutas Vermelhas"
"OUTROS E CONSERVAS","Geleia de Laranja"
"OUTROS E CONSERVAS","Manteiga de Amendoim"
"OUTROS E CONSERVAS","Pasta de Amendoim"
"OUTROS E CONSERVAS","Tahine"
"OUTROS E CONSERVAS","Homus"
"OUTROS E CONSERVAS","Patê"
"OUTROS E CONSERVAS","Azeitona Verde em Conserva"
"OUTROS E CONSERVAS","Atum em Lata"
"OUTROS E CONSERVAS","Sardinha em Lata"
"OUTROS E CONSERVAS","Milho Verde em Lata"
"OUTROS E CONSERVAS","Seleta de Legumes"
"OUTROS E CONSERVAS","Requeijão Cremoso"
"OUTROS E CONSERVAS","Manteiga com Sal"
"OUTROS E CONSERVAS","Manteiga sem Sal"
"OUTROS ITENS BÁSICOS","Ovo de Galinha"
"OUTROS ITENS BÁSICOS","Ovo Branco"
"OUTROS ITENS BÁSICOS","Ovo Vermelho"
"OUTROS ITENS BÁSICOS","Ovo de Codorna"
"OUTROS ITENS BÁSICOS","Ovo Caipira"
"OUTROS ITENS BÁSICOS","Café"
"OUTROS ITENS BÁSICOS","Açúcar"
"OUTROS ITENS BÁSICOS","Sal"
"OUTROS ITENS BÁSICOS","Óleo"
"OUTROS ITENS BÁSICOS","Azeite"
"OUTROS ITENS BÁSICOS","Vinagre"
"OUTROS ITENS BÁSICOS","Fermento Biológico"
"OUTROS ITENS BÁSICOS","Fermento Químico"
"OUTROS ITENS BÁSICOS","Bicarbonato de Sódio"
"OUTROS ITENS BÁSICOS","Gelatina"
"OUTROS ITENS BÁSICOS","Chocolate ao Leite"
"OUTROS ITENS BÁSICOS","Chocolate Meio Amargo"
"OUTROS ITENS BÁSICOS","Chocolate Branco"
"OUTROS ITENS BÁSICOS","Cacau"
"OUTROS ITENS BÁSICOS","Polvilho"
"OUTROS ITENS BÁSICOS","Macarrão"
"OUTROS ITENS BÁSICOS","Arroz"
"OUTROS ITENS BÁSICOS","Feijão"
"LAVANDERIA","Sabão em Pó"
"LAVANDERIA","Sabão Líquido para Roupas"
"LAVANDERIA","Sabão em Barra"
"LAVANDERIA","Lava-Roupas para Roupas Delicadas"
"LAVANDERIA","Lava-Roupas para Roupas Pretas"
"LAVANDERIA","Lava-Roupas para Roupas Brancas"
"LAVANDERIA","Amaciante"
"LAVANDERIA","Amaciante Concentrado"
"LAVANDERIA","Tira-Manchas em Pó"
"LAVANDERIA","Tira-Manchas Líquido"
"LAVANDERIA","Alvejante com Cloro"
"LAVANDERIA","Alvejante sem Cloro"
"LAVANDERIA","Água Sanitária"
"LAVANDERIA","Branqueador de Roupas"
"LAVANDERIA","Removedor de Manchas"
"LAVANDERIA","Passa-Roupas"
"LAVANDERIA","Limpa-Máquina de Lavar"
"COZINHA E LOUÇAS","Detergente Líquido"
"COZINHA E LOUÇAS","Detergente Neutro"
"COZINHA E LOUÇAS","Detergente de Coco"
"COZINHA E LOUÇAS","Detergente de Limão"
"COZINHA E LOUÇAS","Lava-Louças em Pó"
"COZINHA E LOUÇAS","Lava-Louças em Gel"
"COZINHA E LOUÇAS","Tablete para Lava-Louças"
"COZINHA E LOUÇAS","Secante para Lava-Louças"
"COZINHA E LOUÇAS","Desengordurante"
"COZINHA E LOUÇAS","Limpa-Forno"
"COZINHA E LOUÇAS","Limpa-Micro-ondas"
"COZINHA E LOUÇAS","Limpa-Inox"
"COZINHA E LOUÇAS","Limpa-Alumínio"
"COZINHA E LOUÇAS","Saponáceo Cremoso"
"COZINHA E LOUÇAS","Saponáceo em Pó"
"SUPERFÍCIES E BANHEIRO","Limpador Multiuso"
"SUPERFÍCIES E BANHEIRO","Limpador Perfumado"
"SUPERFÍCIES E BANHEIRO","Desinfetante"
"SUPERFÍCIES E BANHEIRO","Cloro em Gel"
"SUPERFÍCIES E BANHEIRO","Álcool Líquido 70%"
"SUPERFÍCIES E BANHEIRO","Limpa-Vidros"
"SUPERFÍCIES E BANHEIRO","Limpa-Espelhos"
"SUPERFÍCIES E BANHEIRO","Limpa-Pisos"
"SUPERFÍCIES E BANHEIRO","Limpa-Porcelanato"
"SUPERFÍCIES E BANHEIRO","Limpa-Mármore"
"SUPERFÍCIES E BANHEIRO","Limpa-Granito"
"SUPERFÍCIES E BANHEIRO","Limpa-Pedras"
"SUPERFÍCIES E BANHEIRO","Limpa-Madeira"
"SUPERFÍCIES E BANHEIRO","Cera Líquida"
"SUPERFÍCIES E BANHEIRO","Cera em Pasta"
"SUPERFÍCIES E BANHEIRO","Removedor de Cera"
"SUPERFÍCIES E BANHEIRO","Lustra-Móveis"
"SUPERFÍCIES E BANHEIRO","Limpa-Carpetes"
"SUPERFÍCIES E BANHEIRO","Limpa-Estofados"
"SUPERFÍCIES E BANHEIRO","Limpa-Telas"
"SUPERFÍCIES E BANHEIRO","Removedor de Mofo"
"SUPERFÍCIES E BANHEIRO","Neutralizador de Odores"
"SUPERFÍCIES E BANHEIRO","Limpa-Banheiro"
"SUPERFÍCIES E BANHEIRO","Limpa-Box"
"SUPERFÍCIES E BANHEIRO","Limpador de Vaso Sanitário"
"SUPERFÍCIES E BANHEIRO","Bloco Sanitário"
"SUPERFÍCIES E BANHEIRO","Pastilha Sanitária"
"SUPERFÍCIES E BANHEIRO","Limpador de Ralos"
"SUPERFÍCIES E BANHEIRO","Desentupidor Químico"
"ACESSÓRIOS DE LIMPEZA","Esponja Multiuso"
"ACESSÓRIOS DE LIMPEZA","Esponja Não Risca"
"ACESSÓRIOS DE LIMPEZA","Esponja de Aço"
"ACESSÓRIOS DE LIMPEZA","Lã de Aço"
"ACESSÓRIOS DE LIMPEZA","Escova de Limpeza"
"ACESSÓRIOS DE LIMPEZA","Escova para Louças"
"ACESSÓRIOS DE LIMPEZA","Escova Sanitária"
"ACESSÓRIOS DE LIMPEZA","Vassoura"
"ACESSÓRIOS DE LIMPEZA","Rodo"
"ACESSÓRIOS DE LIMPEZA","Pá de Lixo"
"ACESSÓRIOS DE LIMPEZA","Mop"
"ACESSÓRIOS DE LIMPEZA","Refil para Mop"
"ACESSÓRIOS DE LIMPEZA","Balde"
"ACESSÓRIOS DE LIMPEZA","Bacia"
"ACESSÓRIOS DE LIMPEZA","Pano de Chão"
"ACESSÓRIOS DE LIMPEZA","Pano Multiuso"
"ACESSÓRIOS DE LIMPEZA","Pano de Microfibra"
"ACESSÓRIOS DE LIMPEZA","Flanela"
"ACESSÓRIOS DE LIMPEZA","Luvas de Limpeza"
"ACESSÓRIOS DE LIMPEZA","Saco para Aspirador"
"ACESSÓRIOS DE LIMPEZA","Papel-Toalha"
"ACESSÓRIOS DE LIMPEZA","Saco de Lixo 15 Litros"
"ACESSÓRIOS DE LIMPEZA","Saco de Lixo 30 Litros"
"ACESSÓRIOS DE LIMPEZA","Saco de Lixo 50 Litros"
"ACESSÓRIOS DE LIMPEZA","Saco de Lixo 100 Litros"
"CONTROLE DE PRAGAS","Inseticida Aerossol"
"CONTROLE DE PRAGAS","Inseticida Elétrico"
"CONTROLE DE PRAGAS","Refil para Inseticida Elétrico"
"CONTROLE DE PRAGAS","Isca para Formigas"
"CONTROLE DE PRAGAS","Isca para Baratas"
"CONTROLE DE PRAGAS","Armadilha para Insetos"
"CONTROLE DE PRAGAS","Repelente de Ambientes"
"CONTROLE DE PRAGAS","Naftalina"
"HIGIENE BUCAL","Creme Dental"
"HIGIENE BUCAL","Creme Dental Infantil"
"HIGIENE BUCAL","Creme Dental para Dentes Sensíveis"
"HIGIENE BUCAL","Escova Dental"
"HIGIENE BUCAL","Escova Dental Infantil"
"HIGIENE BUCAL","Escova Interdental"
"HIGIENE BUCAL","Fio Dental"
"HIGIENE BUCAL","Fita Dental"
"HIGIENE BUCAL","Enxaguante Bucal"
"HIGIENE BUCAL","Limpador de Língua"
"HIGIENE BUCAL","Estojo para Escova Dental"
"BANHO E CORPO","Sabonete em Barra"
"BANHO E CORPO","Sabonete Líquido"
"BANHO E CORPO","Sabonete Antibacteriano"
"BANHO E CORPO","Sabonete Infantil"
"BANHO E CORPO","Sabonete Íntimo"
"BANHO E CORPO","Esponja de Banho"
"BANHO E CORPO","Bucha Vegetal"
"BANHO E CORPO","Desodorante Aerossol"
"BANHO E CORPO","Desodorante Roll-On"
"BANHO E CORPO","Desodorante em Creme"
"BANHO E CORPO","Desodorante em Bastão"
"BANHO E CORPO","Talco Corporal"
"BANHO E CORPO","Talco para Pés"
"BANHO E CORPO","Hidratante Corporal"
"BANHO E CORPO","Óleo Corporal"
"BANHO E CORPO","Colônia"
"BANHO E CORPO","Perfume"
"BANHO E CORPO","Creme para as Mãos"
"CABELOS","Shampoo"
"CABELOS","Shampoo Anticaspa"
"CABELOS","Shampoo Infantil"
"CABELOS","Shampoo para Cabelos Secos"
"CABELOS","Shampoo para Cabelos Oleosos"
"CABELOS","Shampoo para Cabelos Cacheados"
"CABELOS","Shampoo a Seco"
"CABELOS","Condicionador"
"CABELOS","Condicionador Infantil"
"CABELOS","Creme para Pentear"
"CABELOS","Máscara Capilar"
"CABELOS","Leave-In"
"CABELOS","Protetor Térmico Capilar"
"CABELOS","Gel para Cabelo"
"CABELOS","Pomada para Cabelo"
"CABELOS","Spray Fixador"
"CABELOS","Óleo Capilar"
"CABELOS","Tintura para Cabelo"
"CABELOS","Pente"
"CABELOS","Escova de Cabelo"
"BARBA E DEPILAÇÃO","Aparelho de Barbear"
"BARBA E DEPILAÇÃO","Lâmina de Barbear"
"BARBA E DEPILAÇÃO","Espuma de Barbear"
"BARBA E DEPILAÇÃO","Creme de Barbear"
"BARBA E DEPILAÇÃO","Loção Pós-Barba"
"BARBA E DEPILAÇÃO","Creme Depilatório"
"BARBA E DEPILAÇÃO","Cera Depilatória"
"BARBA E DEPILAÇÃO","Folha Depilatória"
"BARBA E DEPILAÇÃO","Pinça"
"HIGIENE MENSTRUAL E ÍNTIMA","Protetor Diário"
"HIGIENE MENSTRUAL E ÍNTIMA","Absorvente com Abas"
"HIGIENE MENSTRUAL E ÍNTIMA","Absorvente sem Abas"
"HIGIENE MENSTRUAL E ÍNTIMA","Absorvente Noturno"
"HIGIENE MENSTRUAL E ÍNTIMA","Absorvente Interno"
"HIGIENE MENSTRUAL E ÍNTIMA","Coletor Menstrual"
"HIGIENE MENSTRUAL E ÍNTIMA","Disco Menstrual"
"HIGIENE MENSTRUAL E ÍNTIMA","Calcinha Absorvente"
"HIGIENE MENSTRUAL E ÍNTIMA","Preservativo"
"HIGIENE MENSTRUAL E ÍNTIMA","Gel Lubrificante"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Papel Higiênico Folha Simples"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Papel Higiênico Folha Dupla"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Papel Higiênico Folha Tripla"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Lenço de Papel"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Lenço Umedecido"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Lenço Umedecido Infantil"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Algodão em Bolas"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Algodão em Disco"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Hastes Flexíveis"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Fralda Descartável"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Fralda para Piscina"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Pomada para Assaduras"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Sabonete para Bebê"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Shampoo para Bebê"
"PAPEL, ALGODÃO E CUIDADOS INFANTIS","Óleo para Bebê"
"ROSTO, PROTEÇÃO E UNHAS","Sabonete Facial"
"ROSTO, PROTEÇÃO E UNHAS","Gel de Limpeza Facial"
"ROSTO, PROTEÇÃO E UNHAS","Água Micelar"
"ROSTO, PROTEÇÃO E UNHAS","Demaquilante"
"ROSTO, PROTEÇÃO E UNHAS","Hidratante Facial"
"ROSTO, PROTEÇÃO E UNHAS","Protetor Solar Corporal"
"ROSTO, PROTEÇÃO E UNHAS","Protetor Solar Facial"
"ROSTO, PROTEÇÃO E UNHAS","Protetor Labial"
"ROSTO, PROTEÇÃO E UNHAS","Repelente Corporal"
"ROSTO, PROTEÇÃO E UNHAS","Álcool em Gel 70%"
"ROSTO, PROTEÇÃO E UNHAS","Removedor de Esmalte"
"ROSTO, PROTEÇÃO E UNHAS","Acetona"
"ROSTO, PROTEÇÃO E UNHAS","Lixa de Unha"
"ROSTO, PROTEÇÃO E UNHAS","Cortador de Unha"
